tithi_date;tithi_day;tithi_time;
07.06.2023;20;19:21;1
08.06.2023;21;16:29;1
09.06.2023;22;13:51;1
10.06.2023;23;11:32;1
11.06.2023;24;09:36;1
12.06.2023;25;08:05;1
13.06.2023;26;06:59;1
14.06.2023;27;06:18;1
15.06.2023;28;06:02;1
16.06.2023;29;06:10;1
17.06.2023;30;06:41;1
18.06.2023;1;07:37;1
19.06.2023;2;08:55;1
20.06.2023;3;10:37;1
21.06.2023;4;12:40;1
22.06.2023;5;14:58;1
23.06.2023;6;17:24;1
24.06.2023;7;19:47;1
25.06.2023;8;21:55;1
26.06.2023;9;23:35;1
27.06.2023;9;[весь день];1
28.06.2023;10;00:35;1
29.06.2023;11;00:49;1
30.06.2023;12;00:12;0
30.06.2023;13;22:47;1
01.07.2023;14;20:37;1
02.07.2023;15;17:51;1
03.07.2023;16;14:38;1
04.07.2023;17;11:08;1
05.07.2023;18;07:32;1
06.07.2023;19;04:00;1
07.07.2023;20;00:42;0
07.07.2023;21;21:47;1
08.07.2023;22;19:21;1
09.07.2023;23;17:30;1
10.07.2023;24;16:14;1
11.07.2023;25;15:35;1
12.07.2023;26;15:29;1
13.07.2023;27;15:55;1
14.07.2023;28;16:47;1
15.07.2023;29;18:02;1
16.07.2023;30;19:38;1
17.07.2023;1;21:31;1
18.07.2023;2;23:40;1
19.07.2023;2;[весь день];1
20.07.2023;3;02:00;1
21.07.2023;4;04:28;1
22.07.2023;5;06:56;1
23.07.2023;6;09:15;1
24.07.2023;7;11:13;1
25.07.2023;8;12:38;1
26.07.2023;9;13:22;1
27.07.2023;10;13:18;1
28.07.2023;11;12:21;1
29.07.2023;12;10:35;1
30.07.2023;13;08:04;1
31.07.2023;14;04:57;1
01.08.2023;15;01:22;0
01.08.2023;16;21:31;1
02.08.2023;17;17:36;1
03.08.2023;18;13:47;1
04.08.2023;19;10:15;1
05.08.2023;20;07:10;1
06.08.2023;21;04:40;1
07.08.2023;22;02:50;1
08.08.2023;23;01:44;1
09.08.2023;24;01:22;1
10.08.2023;25;01:41;1
11.08.2023;26;02:36;1
12.08.2023;27;04:01;1
13.08.2023;28;05:50;1
14.08.2023;29;07:55;1
15.08.2023;30;10:13;1
16.08.2023;1;12:38;1
17.08.2023;2;15:05;1
18.08.2023;3;17:31;1
19.08.2023;4;19:49;1
20.08.2023;5;21:52;1
21.08.2023;6;23:30;1
22.08.2023;6;[весь день];1
23.08.2023;7;00:36;1
24.08.2023;8;01:01;1
25.08.2023;9;00:40;0
25.08.2023;10;23:32;1
26.08.2023;11;21:38;1
27.08.2023;12;19:02;1
28.08.2023;13;15:53;1
29.08.2023;14;12:18;1
30.08.2023;15;08:28;1
31.08.2023;16;04:35;1
01.09.2023;17;00:49;0
01.09.2023;18;21:20;1
02.09.2023;19;18:19;1
03.09.2023;20;15:54;1
04.09.2023;21;14:12;1
